Date;Time;Pressure Inside;Pressure Outside;Pressure Left Side;Pressure Right Side
2025-10-08;15:25:06;0.0;0.0;0.0;0.0
2025-10-08;15:26:06;0.007;0.014;0.007;0.006
2025-10-08;15:27:06;0.009;0.013;0.008;0.011
2025-10-08;15:28:06;0.007;0.011;0.008;0.008
2025-10-08;15:29:06;0.008;0.013;0.008;0.008
2025-10-08;15:30:06;0.007;0.01;0.007;0.007
2025-10-08;15:31:06;0.007;0.011;0.007;0.007
2025-10-08;15:32:07;0.007;0.008;0.111;0.007
2025-10-08;15:33:07;0.009;0.011;0.114;0.011
2025-10-08;15:34:07;0.009;0.012;0.117;0.012
2025-10-08;15:35:07;0.006;0.007;0.113;0.006
2025-10-08;15:36:07;0.009;0.01;0.112;0.009
2025-10-08;15:37:07;0.01;0.011;0.109;0.011
2025-10-08;15:38:07;0.01;0.012;0.11;0.012
2025-10-08;15:39:07;0.008;0.006;0.109;0.006
